id,path
1111,14 8 73 75 42 24 25 25 29 7
61922,14 8 19 15 33 24 25 34 7
16837,14 8 49 24 24 24 25 50 50 9 11
20395,14 8 56 53 24 25 29 7
58157,12 33 24 25 93 25 59 40 87 9 11
11318,14 8 73 53 54 34 9 4
25116,12 19 82 33 24 53 24 25 6 10 9 4
43423,1 8 15 17 5 33 24 25 43 64 50 9 11
20984,68 24 42 24 25 43 62 16 50 9 11
36295,12 33 53 24 42 24 53 24 25 54 74 9 11
29078,14 8 46 19 20 18 7
62953,12 33 24 25 93 25 59 40 87 9 4
25115,12 19 82 33 24 53 24 25 6 10 9 11
45973,1 8 15 17 5 33 24 25 43 64 50 9 4
20983,68 24 42 24 25 43 62 16 50 9 4
22340,12 15 21 19 82 33 24 25 6 83 9 11
27438,12 5 24 70 42 70 42 70 42 24 25 34 9 4
47713,1 8 61 42 24 53 24 25 43 66 9 4
26441,1 8 49 42 43 54 34 20 9 4
44611,12 33 53 54 74 18 16 9 11
45665,12 108 24 58 24 25 29 16 9 11
47712,1 8 61 42 24 53 24 25 43 66 9 11
27439,12 5 24 70 42 70 42 70 42 24 25 34 9 11
34262,14 8 104 33 24 25 59 76 62 113 9 4
45664,12 108 24 58 24 25 29 16 9 4
26575,1 8 49 49 33 34 83 16 83 6 18 9 4
8421,14 8 65 42 43 25 59 76 66 9 4
49093,1 8 77 42 24 53 24 25 6 11
52724,14 8 19 15 65 66 16 16 20 9 4
49094,1 8 77 42 24 53 24 25 6 7
44612,12 33 53 54 74 18 16 9 4
52721,14 8 19 15 65 66 16 16 20 9 11
4334,14 8 61 75 76 36 9 4
26572,1 8 49 49 33 34 83 16 83 6 18 9 11
41135,1 8 56 53 24 25 25 6 10 9 11
52128,14 8 49 5 24 42 43 67 43 76 74 9 4
61634,12 65 63 24 25 34 52 9 11
46632,12 15 17 5 42 43 67 6 18 20 7
61635,12 65 63 24 25 34 52 9 4
32593,1 8 5 21 33 24 25 64 9 11
55136,14 8 98 15 16 18 9 11
53270,1 2 24 24 25 43 6 7
9999,14 8 49 33 24 25 59 66 50 60 9 4
